# Description
# The file describes the Fiorano circuit starting from Google Earth kml files.
# Distance (widths) from reference line of left/right borders
#  both with and witout kerbs are included.
# Generation date:       12-Jun-2023
# Names of source data files:
# - Monza_circuit_no_cordoli.kml
# - Monza_circuit_no_cordoli.kml
# Finish line origin local coordinates (ENU)
#! x0     =   0.00000000
#! y0     =   0.00000000
#! z0     =   0.04214080
#! theta0 =   1.47860909
# Finish line origin geodesic coordinates
#! FinishLineLatitude  =        45.61897378121358
#! FinishLineLongitude =        9.281181522560816
#! FinishLineAltitude  =        183.1489506034142
# Simulator to Real circuit alignement parameters
#! sim_to_real_translation_x =          NaN
#! sim_to_real_translation_y =          NaN
#! sim_to_real_rotation_z     =          NaN
abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
0	-0.014608288901359565634	1.4786090947657475336	0	0	0.04214079686	-0.00593155158922	-0.0285939290349	0.000420301171734	0.000484503463878	5.760941	7.2611687	5.7087718	7.3192972	5.7087718	7.3192972
1.0001334268204378208	-0.0099973638908575305356	1.4663046268426283003	0.098576001244863806217	0.99525725011877508308	0.03627503267	-0.00586513320075	-0.0280999632426	0.000435293581962	0.000347335218877	5.7675347	7.0657014	5.9566978	7.0703011	5.9566978	7.0703011
2.0002668536408769739	-0.0053864388803286063559	1.4586116991510973406	0.20709860209351416138	1.9894829558499356192	0.03040926849	-0.00579871481228	-0.0276059974503	0.000449673491773	0.000214722252328	5.7775025	6.3451405	5.8630376	6.3237456	5.8630376	6.3237456
4.0005337072817521715	0.0039204662912689361084	1.4570604644628000202	0.43562384992127178851	3.9766520487341492363	0.01894190644	-0.00566741994762	-0.0266698583737	0.000476902168046	-3.70364909751e-05	5.7934767	5.609893	5.7565079	5.5947663	5.7565079	5.5947663
5.0006671339156341105	0.0027703977915089291091	1.4604070000931759221	0.54737175782011726621	4.9705224330363897423	0.01333867609	-0.00560254293772	-0.0262273668859	0.000457965356915	-7.79228503817e-06	5.8053602	5.7146927	5.8019926	5.6998721	5.8019926	5.6998721
6.0008005607360717093	0.00087541669371190178762	1.4626013319624258102	0.65636548898099134064	5.9646988936307989704	0.00773562648	-0.00553766699524	-0.0257849108369	0.000438681269908	2.27707811629e-05	5.8296094	5.8439359	5.8268252	5.8294347	5.8268252	5.8294347
10.001334169970416355	0.00019345372234171625994	1.4628063332003051755	1.0857659268964039434	9.9421205961796115247	-0.01390602414	-0.00528278682732	-0.0241661865105	0.000379612862897	6.35226395514e-05	5.8764862	5.7865447	5.830559	5.7748647	5.830559	5.7748647
14.001867737709321915	0.00040824398478021166944	1.4645499637546115501	1.5141195457226708232	13.919654740029479001	-0.03454035725	-0.00503407430851	-0.0227450167262	0.00033327203039	5.09473651468e-05	5.8738335	5.7827419	5.8474631	5.7681505	5.8474631	5.7681505
18.00240146586870793	0.00028852008754783151512	1.4658103107631441642	1.9356083491744615621	17.897922600268934445	-0.05419204673	-0.00479152943881	-0.0215165937393	0.000284688789099	5.39770367707e-05	5.8667995	5.7725	5.8571542	5.7553028	5.8571542	5.7553028
22.002935167640181646	0.0002264392092465359425	1.466881969499386873	2.3526506863964553595	21.876659090122089424	-0.07288576647	-0.00455515221823	-0.020476109805	0.000238058218242	5.35659207218e-05	5.857635	5.7667824	5.8621344	5.7467383	5.8621344	5.7467383
